Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.9826E-08,0.025631,-0.0002827,0,0,0,8.1198,0.0553,-8.384E-09,4.5635E-09,0.099572,-0.0001551,0.086303,0,0,0,0,0,0,package://loomo_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://loomo_description/meshes/base_link.STL,,实体7-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_center_ground_frame,-0.000282698549553816,4.9825976440378E-08,0.0256311634763029,0,0,0,8.11976367999664,0.0863025371679234,4.56349683833395E-09,-0.000155096629108099,0.0553002679552578,-8.38399922388104E-09,0.0995717359744463,0,0,0,0,0,0,package://loomo_description/meshes/base_center_ground_frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://loomo_description/meshes/base_center_ground_frame.STL,,实体7-1,坐标系1,基准轴1,base_center_ground_joint,revolute,0,0,0,0,0,-1.5708,base_link,0,-1,0,0,0,0,0,,,,,,,,
neck_center_body_internal_frame,-0.0278956013169349,-1.14276232202913E-07,-0.111798627558357,0,0,0,3.11514141317435,0.0143276231172362,-3.99326411595429E-08,-0.00155032728411974,0.0181814342711786,-3.37243882499783E-09,0.00832949660020289,0,0,0,0,0,0,package://loomo_description/meshes/neck_center_body_internal_frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://loomo_description/meshes/neck_center_body_internal_frame.STL,,实体8-1,坐标系4,基准轴6,neck_center_body_internal_joint,continuous,0,0,0.38,0,0,0,base_center_ground_frame,0,0,-1,,,,,,,,,,,,
neck_center_body_yaw_frame,-0.000828132734955685,2.86609496269648E-07,0.0545783254314435,0,0,0,0.996259052147996,0.00831138012927765,2.69662622187785E-08,3.19528814787695E-10,0.00202259909767355,1.19629859113275E-08,0.00779786011946472,0,0,0,0,0,0,package://loomo_description/meshes/neck_center_body_yaw_frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://loomo_description/meshes/neck_center_body_yaw_frame.STL,,分割1[1]-1,坐标系5,基准轴4,neck_center_body_yaw_joint,revolute,-0.024672,0,0,0,0,0,neck_center_body_internal_frame,0,0,-1,0,0,0,0,,,,,,,,
rsdepth_center_neck_fix_frame,0.00250000000000001,0,0,0,0,0,9.81747704246811E-05,3.06796157577129E-10,-8.61646471409404E-27,-1.18574757816703E-42,3.5792885050665E-10,-3.88938454866321E-58,3.5792885050665E-10,0,0,0,0,0,0,package://loomo_description/meshes/rsdepth_center_neck_fix_frame.STL,1,1,1,1,0,0,0,0,0,0,package://loomo_description/meshes/rsdepth_center_neck_fix_frame.STL,,substitute_goods-2,坐标系6,,rsdepth_center_neck_fix_joint,fixed,0.049172,-0.02,0.012907,0,0,0,neck_center_body_yaw_frame,0,0,0,,,,,,,,,,,,
rscolor_center_neck_fix_frame,0.00250000000000001,6.93889390390723E-18,0,0,0,0,9.81747704246811E-05,3.06796157577129E-10,-8.61646471409404E-27,-1.18574757816703E-42,3.5792885050665E-10,-3.88938454866321E-58,3.5792885050665E-10,0,0,0,0,0,0,package://loomo_description/meshes/rscolor_center_neck_fix_frame.STL,1,1,1,1,0,0,0,0,0,0,package://loomo_description/meshes/rscolor_center_neck_fix_frame.STL,,substitute_goods-3,坐标系7,,rscolor_center_neck_fix_joint,fixed,0.049172,-0.04,0.012907,0,0,0,neck_center_body_yaw_frame,0,0,0,,,,,,,,,,,,
head_center_neck_pitch_frame,-0.00114448581858739,5.18459807645892E-09,-0.025368274737453,0,0,0,0.977813834278322,0.00224281696044669,-3.87316176779403E-10,2.24235415527069E-10,0.0010893701940155,-4.75870304185978E-10,0.00229161439640982,0,0,0,0,0,0,package://loomo_description/meshes/head_center_neck_pitch_frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://loomo_description/meshes/head_center_neck_pitch_frame.STL,,分割1[2]-1,坐标系8,基准轴5,head_center_neck_pitch_joint,revolute,0.024672,0,0.089144,0,-1.5708,0,neck_center_body_yaw_frame,0,1,0,0,0,0,0,,,,,,,,
platform_center_head_fix_frame,-5.55111512312578E-17,-6.93889390390723E-18,0.0025,0,0,0,9.81747704246811E-05,3.5792885050665E-10,-3.88938454866321E-58,-1.18574757816703E-42,3.5792885050665E-10,-8.61646471409405E-27,3.06796157577129E-10,0,0,0,0,0,0,package://loomo_description/meshes/platform_center_head_fix_frame.STL,1,1,1,1,0,0,0,0,0,0,package://loomo_description/meshes/platform_center_head_fix_frame.STL,,substitute_goods-5,坐标系9,,platform_center_head_fix_joint,fixed,0.0046826,0.04,0.0145,0,0,0,head_center_neck_pitch_frame,0,0,0,,,,,,,,,,,,
left_wheel_frame,-5.83977248643685E-10,0.00159192387976809,2.61420104086719E-09,0,0,0,4.17662159562663,0.0209332395777932,-7.06480372567567E-11,1.97259405847453E-07,0.0383274182189435,2.60224084208917E-10,0.020930447790628,0,0,0,0,0,0,package://loomo_description/meshes/left_wheel_frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://loomo_description/meshes/left_wheel_frame.STL,,实体43-1,坐标系2,基准轴2,left_wheel_joint,revolute,0.22519,0,0,0,0,-1.5708,base_link,0,-1,0,0,0,0,0,,,,,,,,
right_wheel_frame,5.84026906800422E-10,0.00292642915255981,2.61420569308923E-09,0,0,0,4.17662159562663,0.0209332395777932,-7.06443898116689E-11,-1.97259405847807E-07,0.038327415469301,-2.60224713784043E-10,0.0209304450409855,0,0,0,0,0,0,package://loomo_description/meshes/right_wheel_frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://loomo_description/meshes/right_wheel_frame.STL,,实体18-1,坐标系3,基准轴3,right_wheel_joint,revolute,-0.22971,0,0,0,0,-1.5708,base_link,0,-1,0,0,0,0,0,,,,,,,,
